,Unnamed: 0,title,clean_title,studio,domestic_gross,foreign_gross,year,genre_imdb,genre_tndb,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi,TV Movie,Thriller,War,Western,Biography,Sport,Musical
1532,1532,Blended,blended,WB,46300000.0,81700000.0,2014,"Comedy,Romance",[35],False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
1533,1533,Sex Tape,sex tape,Sony,38500000.0,87500000.0,2014,"Comedy,Romance",[35],False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
1534,1534,The Theory of Everything,the theory of everything,Focus,35900000.0,87800000.0,2014,"Biography,Drama,Romance","[18, 10749]",False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,,False,False,False,True,False,False
1535,1535,The Nut Job,the nut job,ORF,64300000.0,56600000.0,2014,"Adventure,Animation,Comedy","[16, 35, 10751, 12]",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1536,1536,The Wind Rises,the wind rises,BV,5200000.0,112700000.0,2014,,[16],,,,,,,,,,,,,,,,,,,,,,
1537,1537,Pompeii,pompeii,TriS,23200000.0,94600000.0,2014,"Action,Adventure,Drama","[28, 12, 36, 10749, 18]",True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1538,1538,The Admiral: Roaring Currents,the admiral roaring currents,CJ,2600000.0,109600000.0,2014,,"[10752, 28, 18, 36]",,,,,,,,,,,,,,,,,,,,,,
1539,1539,The Purge: Anarchy,the purge anarchy,Uni.,72000000.0,40000000.0,2014,"Action,Horror,Sci-Fi","[27, 53]",True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,,False,False,False,False,False,False
1540,1540,The Boxtrolls,the boxtrolls,Focus,50800000.0,58400000.0,2014,"Adventure,Animation,Comedy","[16, 35, 10751, 14]",False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1541,1541,Horrible Bosses 2,horrible bosses 2,WB,54400000.0,53200000.0,2014,"Comedy,Crime",[35],False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1542,1542,Ouija,ouija,Uni.,50900000.0,52700000.0,2014,"Horror,Mystery,Thriller",[27],False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,True,False,False,False,False,False
1543,1543,Birdman,birdman,FoxS,42300000.0,60900000.0,2014,,"[18, 35]",,,,,,,,,,,,,,,,,,,,,,
1544,1544,Transcendence,transcendence,WB,23000000.0,80000000.0,2014,Drama,[],False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1545,1545,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",alexander and the terrible horrible no good very bad day,BV,67000000.0,34400000.0,2014,"Comedy,Family","[10751, 35]",False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,,False,False,False,False,False,False
1546,1546,Heaven is for Real,heaven is for real,TriS,91400000.0,9900000.0,2014,,[18],,,,,,,,,,,,,,,,,,,,,,
1547,1547,Tammy,tammy,WB (NL),84500000.0,16000000.0,2014,"Comedy,Romance",[35],False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False
1548,1548,P.K.,pk,UTV,10600000.0,89800000.0,2014,,"[35, 18]",,,,,,,,,,,,,,,,,,,,,,
1549,1549,The Book of Life (2014),the book of life (2014),Fox,50200000.0,49600000.0,2014,,,,,,,,,,,,,,,,,,,,,,,,
1550,1550,Paranormal Activity: The Marked Ones,paranormal activity the marked ones,Par.,32500000.0,58400000.0,2014,"Horror,Mystery,Thriller","[27, 53]",False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,True,False,False,False,False,False
1551,1551,The Hundred-Foot Journey,the hundred-foot journey,BV,54200000.0,34600000.0,2014,"Comedy,Drama",[18],False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
1552,1552,John Wick,john wick,LG/S,43000000.0,45700000.0,2014,"Action,Crime,Thriller","[28, 53]",True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False
