,Unnamed: 0,clean_title,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,foreign_gross,title,studio,domestic_grossbom,foreign_grossbom,year,worldwide_grossbom,Sport,Crime,News,Romance,Sci-Fi,Western,Horror,Drama,Family,nan,Mystery,Musical,Fantasy,Adventure,Documentary,Thriller,Comedy,Reality-TV,Music,History,Action,Animation
3292,107899,alpha,tt6328392,AlphA,AlphA,2015,81.0,"Adventure,Fantasy,Mystery",79,17-Aug-18,Alpha,51000000,35851379,99624873,63773494,Alpha,Studio 8,35900000.0,62300000.0,2018.0,98200000.0,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False
3293,107979,city of ghosts,tt6333056,City of Ghosts,City of Ghosts,2017,92.0,"Documentary,War",64,25-Apr-03,City of Ghosts,17500000,325491,325491,0,City of Ghosts,IFC,128000.0,100000.0,2017.0,228000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3294,107981,icarus,tt6333060,Icarus,Icarus,2017,120.0,"Documentary,Sport,Thriller",91,9-Feb-10,Icarus,6000000,0,0,0,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
3295,108027,the island,tt6335394,The Island,The Island,2017,60.0,"Documentary,Drama",100,22-Jul-05,The Island,120000000,35818913,163018913,127200000,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3296,108027,the island,tt6335394,The Island,The Island,2017,60.0,"Documentary,Drama",35,13-Jun-80,The Island,22000000,15716828,15716828,0,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
3297,108067,paranoia,tt6338350,Paranoia,Paranoia,2016,60.0,Thriller,19,16-Aug-13,Paranoia,40000000,7388654,16340767,8952113,Paranoia,Rela.,7400000.0,6400000.0,2013.0,13800000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3298,108120,life as we know it,tt6341928,Life as We Know It,Life as We Know It,2017,,Comedy,64,8-Oct-10,Life as We Know It,38000000,53374681,105887837,52513156,Life as We Know It,WB,53400000.0,52300000.0,2010.0,105700000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3299,108147,creed ii,tt6343314,Creed II,Creed II,2018,130.0,"Drama,Sport",96,21-Nov-18,Creed II,50000000,115715889,213591522,97875633,Creed II,MGM,115700000.0,98300000.0,2018.0,214000000.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3300,108162,stolen,tt6344530,Stolen,Stolen,2018,58.0,Drama,53,14-Sep-12,Stolen,35000000,289773,17967746,17677973,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3301,108191,a quiet place,tt6347308,A Quiet Place,A Quiet Place,2016,80.0,Documentary,66,6-Apr-18,A Quiet Place,17000000,188024361,334522294,146497933,A Quiet Place,Par.,188000000.0,152900000.0,2018.0,340900000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
